"id","Admit","Gender","Dept"
"81","Admitted","Male","A"
"82","Admitted","Male","A"
"83","Admitted","Male","A"
"84","Admitted","Male","A"
"85","Admitted","Male","A"
"86","Admitted","Male","A"
"87","Admitted","Male","A"
"88","Admitted","Male","A"
"89","Admitted","Male","A"
"90","Admitted","Male","A"
"91","Admitted","Male","A"
"92","Admitted","Male","A"
"93","Admitted","Male","A"
"94","Admitted","Male","A"
"95","Admitted","Male","A"
"96","Admitted","Male","A"
"97","Admitted","Male","A"
"98","Admitted","Male","A"
"99","Admitted","Male","A"
"100","Admitted","Male","A"
"101","Admitted","Male","A"
"102","Admitted","Male","A"
"103","Admitted","Male","A"
"104","Admitted","Male","A"
"105","Admitted","Male","A"
"106","Admitted","Male","A"
"107","Admitted","Male","A"
"108","Admitted","Male","A"
"109","Admitted","Male","A"
"110","Admitted","Male","A"
"111","Admitted","Male","A"
"112","Admitted","Male","A"
"113","Admitted","Male","A"
"114","Admitted","Male","A"
"115","Admitted","Male","A"
"116","Admitted","Male","A"
"117","Admitted","Male","A"
"118","Admitted","Male","A"
"119","Admitted","Male","A"
"120","Admitted","Male","A"
"121","Admitted","Male","A"
"122","Admitted","Male","A"
"123","Admitted","Male","A"
"124","Admitted","Male","A"
"125","Admitted","Male","A"
"126","Admitted","Male","A"
"127","Admitted","Male","A"
"128","Admitted","Male","A"
"129","Admitted","Male","A"
"130","Admitted","Male","A"
"131","Admitted","Male","A"
"132","Admitted","Male","A"
"133","Admitted","Male","A"
"134","Admitted","Male","A"
"135","Admitted","Male","A"
"136","Admitted","Male","A"
"137","Admitted","Male","A"
"138","Admitted","Male","A"
"139","Admitted","Male","A"
"140","Admitted","Male","A"
"141","Admitted","Male","A"
"142","Admitted","Male","A"
"143","Admitted","Male","A"
"144","Admitted","Male","A"
"145","Admitted","Male","A"
"146","Admitted","Male","A"
"147","Admitted","Male","A"
"148","Admitted","Male","A"
"149","Admitted","Male","A"
"150","Admitted","Male","A"
"151","Admitted","Male","A"
"152","Admitted","Male","A"
"153","Admitted","Male","A"
"154","Admitted","Male","A"
"155","Admitted","Male","A"
"156","Admitted","Male","A"
"157","Admitted","Male","A"
"158","Admitted","Male","A"
"159","Admitted","Male","A"
"160","Admitted","Male","A"
"161","Admitted","Male","A"
"162","Admitted","Male","A"
"163","Admitted","Male","A"
"164","Admitted","Male","A"
"165","Admitted","Male","A"
"166","Admitted","Male","A"
"167","Admitted","Male","A"
"168","Admitted","Male","A"
"169","Admitted","Male","A"
"170","Admitted","Male","A"
"171","Admitted","Male","A"
"172","Admitted","Male","A"
"173","Admitted","Male","A"
"174","Admitted","Male","A"
"175","Admitted","Male","A"
"176","Admitted","Male","A"
"177","Admitted","Male","A"
"178","Admitted","Male","A"
"179","Admitted","Male","A"
"180","Admitted","Male","A"
"181","Admitted","Male","A"
"182","Admitted","Male","A"
"183","Admitted","Male","A"
"184","Admitted","Male","A"
"185","Admitted","Male","A"
"186","Admitted","Male","A"
"187","Admitted","Male","A"
"188","Admitted","Male","A"
"189","Admitted","Male","A"
"190","Admitted","Male","A"
"191","Admitted","Male","A"
"192","Admitted","Male","A"
"193","Admitted","Male","A"
"194","Admitted","Male","A"
"195","Admitted","Male","A"
"196","Admitted","Male","A"
"197","Admitted","Male","A"
"198","Admitted","Male","A"
"199","Admitted","Male","A"
"200","Admitted","Male","A"
"201","Admitted","Male","A"
"202","Admitted","Male","A"
"203","Admitted","Male","A"
"204","Admitted","Male","A"
"205","Admitted","Male","A"
"206","Admitted","Male","A"
"207","Admitted","Male","A"
"208","Admitted","Male","A"
"209","Admitted","Male","A"
"210","Admitted","Male","A"
"211","Admitted","Male","A"
"212","Admitted","Male","A"
"213","Admitted","Male","A"
"214","Admitted","Male","A"
"215","Admitted","Male","A"
"216","Admitted","Male","A"
"217","Admitted","Male","A"
"218","Admitted","Male","A"
"219","Admitted","Male","A"
"220","Admitted","Male","A"
"221","Admitted","Male","A"
"222","Admitted","Male","A"
"223","Admitted","Male","A"
"224","Admitted","Male","A"
"225","Admitted","Male","A"
"226","Admitted","Male","A"
"227","Admitted","Male","A"
"228","Admitted","Male","A"
"229","Admitted","Male","A"
"230","Admitted","Male","A"
"231","Admitted","Male","A"
"232","Admitted","Male","A"
"233","Admitted","Male","A"
"234","Admitted","Male","A"
"235","Admitted","Male","A"
"236","Admitted","Male","A"
"237","Admitted","Male","A"
"238","Admitted","Male","A"
"239","Admitted","Male","A"
"240","Admitted","Male","A"
"241","Admitted","Male","A"
"242","Admitted","Male","A"
"243","Admitted","Male","A"
"244","Admitted","Male","A"
"245","Admitted","Male","A"
"246","Admitted","Male","A"
"247","Admitted","Male","A"
"248","Admitted","Male","A"
"249","Admitted","Male","A"
"250","Admitted","Male","A"
"251","Admitted","Male","A"
"252","Admitted","Male","A"
"253","Admitted","Male","A"
"254","Admitted","Male","A"
"255","Admitted","Male","A"
"256","Admitted","Male","A"
"257","Admitted","Male","A"
"258","Admitted","Male","A"
"259","Admitted","Male","A"
"260","Admitted","Male","A"
"261","Admitted","Male","A"
"262","Admitted","Male","A"
"263","Admitted","Male","A"
"264","Admitted","Male","A"
"265","Admitted","Male","A"
"266","Admitted","Male","A"
"267","Admitted","Male","A"
"268","Admitted","Male","A"
"269","Admitted","Male","A"
"270","Admitted","Male","A"
"271","Admitted","Male","A"
"272","Admitted","Male","A"
"273","Admitted","Male","A"
"274","Admitted","Male","A"
"275","Admitted","Male","A"
"276","Admitted","Male","A"
"277","Admitted","Male","A"
"278","Admitted","Male","A"
"279","Admitted","Male","A"
"280","Admitted","Male","A"
"281","Admitted","Male","A"
"282","Admitted","Male","A"
"283","Admitted","Male","A"
"284","Admitted","Male","A"
"285","Admitted","Male","A"
"286","Admitted","Male","A"
"287","Admitted","Male","A"
"288","Admitted","Male","A"
"289","Admitted","Male","A"
"290","Admitted","Male","A"
"291","Admitted","Male","A"
"292","Admitted","Male","A"
"293","Admitted","Male","A"
"294","Admitted","Male","A"
"295","Admitted","Male","A"
"296","Admitted","Male","A"
"297","Admitted","Male","A"
"298","Admitted","Male","A"
"299","Admitted","Male","A"
"300","Admitted","Male","A"
"301","Admitted","Male","A"
"302","Admitted","Male","A"
"303","Admitted","Male","A"
"304","Admitted","Male","A"
"305","Admitted","Male","A"
"306","Admitted","Male","A"
"307","Admitted","Male","A"
"308","Admitted","Male","A"
"309","Admitted","Male","A"
"310","Admitted","Male","A"
"311","Admitted","Male","A"
"312","Admitted","Male","A"
"313","Admitted","Male","A"
"314","Admitted","Male","A"
"315","Admitted","Male","A"
"316","Admitted","Male","A"
"317","Admitted","Male","A"
"318","Admitted","Male","A"
"319","Admitted","Male","A"
"320","Admitted","Male","A"
"321","Admitted","Male","A"
"322","Admitted","Male","A"
"323","Admitted","Male","A"
"324","Admitted","Male","A"
"325","Admitted","Male","A"
"326","Admitted","Male","A"
"327","Admitted","Male","A"
"328","Admitted","Male","A"
"329","Admitted","Male","A"
"330","Admitted","Male","A"
"331","Admitted","Male","A"
"332","Admitted","Male","A"
"333","Admitted","Male","A"
"334","Admitted","Male","A"
"335","Admitted","Male","A"
"336","Admitted","Male","A"
"337","Admitted","Male","A"
"338","Admitted","Male","A"
"339","Admitted","Male","A"
"340","Admitted","Male","A"
"341","Admitted","Male","A"
"342","Admitted","Male","A"
"343","Admitted","Male","A"
"344","Admitted","Male","A"
"345","Admitted","Male","A"
"346","Admitted","Male","A"
"347","Admitted","Male","A"
"348","Admitted","Male","A"
"349","Admitted","Male","A"
"350","Admitted","Male","A"
"351","Admitted","Male","A"
"352","Admitted","Male","A"
"353","Admitted","Male","A"
"354","Admitted","Male","A"
"355","Admitted","Male","A"
"356","Admitted","Male","A"
"357","Admitted","Male","A"
"358","Admitted","Male","A"
"359","Admitted","Male","A"
"360","Admitted","Male","A"
"361","Admitted","Male","A"
"362","Admitted","Male","A"
"363","Admitted","Male","A"
"364","Admitted","Male","A"
"365","Admitted","Male","A"
"366","Admitted","Male","A"
"367","Admitted","Male","A"
"368","Admitted","Male","A"
"369","Admitted","Male","A"
"370","Admitted","Male","A"
"371","Admitted","Male","A"
"372","Admitted","Male","A"
"373","Admitted","Male","A"
"374","Admitted","Male","A"
"375","Admitted","Male","A"
"376","Admitted","Male","A"
"377","Admitted","Male","A"
"378","Admitted","Male","A"
"379","Admitted","Male","A"
"380","Admitted","Male","A"
"381","Admitted","Male","A"
"382","Admitted","Male","A"
"383","Admitted","Male","A"
"384","Admitted","Male","A"
"385","Admitted","Male","A"
"386","Admitted","Male","A"
"387","Admitted","Male","A"
"388","Admitted","Male","A"
"389","Admitted","Male","A"
"390","Admitted","Male","A"
"391","Admitted","Male","A"
"392","Admitted","Male","A"
"393","Admitted","Male","A"
"394","Admitted","Male","A"
"395","Admitted","Male","A"
"396","Admitted","Male","A"
"397","Admitted","Male","A"
"398","Admitted","Male","A"
"399","Admitted","Male","A"
"400","Admitted","Male","A"
"401","Admitted","Male","A"
"402","Admitted","Male","A"
"403","Admitted","Male","A"
"404","Admitted","Male","A"
"405","Admitted","Male","A"
"406","Admitted","Male","A"
"407","Admitted","Male","A"
"408","Admitted","Male","A"
"409","Admitted","Male","A"
"410","Admitted","Male","A"
"411","Admitted","Male","A"
"412","Admitted","Male","A"
"413","Admitted","Male","A"
"414","Admitted","Male","A"
"415","Admitted","Male","A"
"416","Admitted","Male","A"
"417","Admitted","Male","A"
"418","Admitted","Male","A"
"419","Admitted","Male","A"
"420","Admitted","Male","A"
"421","Admitted","Male","A"
"422","Admitted","Male","A"
"423","Admitted","Male","A"
"424","Admitted","Male","A"
"425","Admitted","Male","A"
"426","Admitted","Male","A"
"427","Admitted","Male","A"
"428","Admitted","Male","A"
"429","Admitted","Male","A"
"430","Admitted","Male","A"
"431","Admitted","Male","A"
"432","Admitted","Male","A"
"433","Admitted","Male","A"
"434","Admitted","Male","A"
"435","Admitted","Male","A"
"436","Admitted","Male","A"
"437","Admitted","Male","A"
"438","Admitted","Male","A"
"439","Admitted","Male","A"
"440","Admitted","Male","A"
"441","Admitted","Male","A"
"442","Admitted","Male","A"
"443","Admitted","Male","A"
"444","Admitted","Male","A"
"445","Admitted","Male","A"
"446","Admitted","Male","A"
"447","Admitted","Male","A"
"448","Admitted","Male","A"
"449","Admitted","Male","A"
"450","Admitted","Male","A"
"451","Admitted","Male","A"
"452","Admitted","Male","A"
"453","Admitted","Male","A"
"454","Admitted","Male","A"
"455","Admitted","Male","A"
"456","Admitted","Male","A"
"457","Admitted","Male","A"
"458","Admitted","Male","A"
"459","Admitted","Male","A"
"460","Admitted","Male","A"
"461","Admitted","Male","A"
"462","Admitted","Male","A"
"463","Admitted","Male","A"
"464","Admitted","Male","A"
"465","Admitted","Male","A"
"466","Admitted","Male","A"
"467","Admitted","Male","A"
"468","Admitted","Male","A"
"469","Admitted","Male","A"
"470","Admitted","Male","A"
"471","Admitted","Male","A"
"472","Admitted","Male","A"
"473","Admitted","Male","A"
"474","Admitted","Male","A"
"475","Admitted","Male","A"
"476","Admitted","Male","A"
"477","Admitted","Male","A"
"478","Admitted","Male","A"
"479","Admitted","Male","A"
"480","Admitted","Male","A"
"481","Admitted","Male","A"
"482","Admitted","Male","A"
"483","Admitted","Male","A"
"484","Admitted","Male","A"
"485","Admitted","Male","A"
"486","Admitted","Male","A"
"487","Admitted","Male","A"
"488","Admitted","Male","A"
"489","Admitted","Male","A"
"490","Admitted","Male","A"
"491","Admitted","Male","A"
"492","Admitted","Male","A"
"493","Admitted","Male","A"
"494","Admitted","Male","A"
"495","Admitted","Male","A"
"496","Admitted","Male","A"
"497","Admitted","Male","A"
"498","Admitted","Male","A"
"499","Admitted","Male","A"
"500","Admitted","Male","A"
"501","Admitted","Male","A"
"502","Admitted","Male","A"
"503","Admitted","Male","A"
"504","Admitted","Male","A"
"505","Admitted","Male","A"
"506","Admitted","Male","A"
"507","Admitted","Male","A"
"508","Admitted","Male","A"
"509","Admitted","Male","A"
"510","Admitted","Male","A"
"511","Admitted","Male","A"
"512","Admitted","Male","A"
"513","Admitted","Male","B"
"514","Admitted","Male","B"
"515","Admitted","Male","B"
"516","Admitted","Male","B"
"517","Admitted","Male","B"
"518","Admitted","Male","B"
"519","Admitted","Male","B"
"520","Admitted","Male","B"
"521","Admitted","Male","B"
"522","Admitted","Male","B"
"523","Admitted","Male","B"
"524","Admitted","Male","B"
"525","Admitted","Male","B"
"526","Admitted","Male","B"
"527","Admitted","Male","B"
"528","Admitted","Male","B"
"529","Admitted","Male","B"
"530","Admitted","Male","B"
"531","Admitted","Male","B"
"532","Admitted","Male","B"
"533","Admitted","Male","B"
"534","Admitted","Male","B"
"535","Admitted","Male","B"
"536","Admitted","Male","B"
"537","Admitted","Male","B"
"538","Admitted","Male","B"
"539","Admitted","Male","B"
"540","Admitted","Male","B"
"541","Admitted","Male","B"
"542","Admitted","Male","B"
"543","Admitted","Male","B"
"544","Admitted","Male","B"
"545","Admitted","Male","B"
"546","Admitted","Male","B"
"547","Admitted","Male","B"
"548","Admitted","Male","B"
"549","Admitted","Male","B"
"550","Admitted","Male","B"
"551","Admitted","Male","B"
"552","Admitted","Male","B"
"553","Admitted","Male","B"
"554","Admitted","Male","B"
"555","Admitted","Male","B"
"556","Admitted","Male","B"
"557","Admitted","Male","B"
"558","Admitted","Male","B"
"559","Admitted","Male","B"
"560","Admitted","Male","B"
"561","Admitted","Male","B"
"562","Admitted","Male","B"
"563","Admitted","Male","B"
"564","Admitted","Male","B"
"565","Admitted","Male","B"
"566","Admitted","Male","B"
"567","Admitted","Male","B"
"568","Admitted","Male","B"
"569","Admitted","Male","B"
"570","Admitted","Male","B"
"571","Admitted","Male","B"
"572","Admitted","Male","B"
"573","Admitted","Male","B"
"574","Admitted","Male","B"
"575","Admitted","Male","B"
"576","Admitted","Male","B"
"577","Admitted","Male","B"
"578","Admitted","Male","B"
"579","Admitted","Male","B"
"580","Admitted","Male","B"
"581","Admitted","Male","B"
"582","Admitted","Male","B"
"583","Admitted","Male","B"
"584","Admitted","Male","B"
"585","Admitted","Male","B"
"586","Admitted","Male","B"
"587","Admitted","Male","B"
"588","Admitted","Male","B"
"589","Admitted","Male","B"
"590","Admitted","Male","B"
"591","Admitted","Male","B"
"592","Admitted","Male","B"
"593","Admitted","Male","B"
"594","Admitted","Male","B"
"595","Admitted","Male","B"
"596","Admitted","Male","B"
"597","Admitted","Male","B"
"598","Admitted","Male","B"
"599","Admitted","Male","B"
"600","Admitted","Male","B"
"601","Admitted","Male","B"
"602","Admitted","Male","B"
"603","Admitted","Male","B"
"604","Admitted","Male","B"
"605","Admitted","Male","B"
"606","Admitted","Male","B"
"607","Admitted","Male","B"
"608","Admitted","Male","B"
"609","Admitted","Male","B"
"610","Admitted","Male","B"
"611","Admitted","Male","B"
"612","Admitted","Male","B"
"613","Admitted","Male","B"
"614","Admitted","Male","B"
"615","Admitted","Male","B"
"616","Admitted","Male","B"
"617","Admitted","Male","B"
"618","Admitted","Male","B"
"619","Admitted","Male","B"
"620","Admitted","Male","B"
"621","Admitted","Male","B"
"622","Admitted","Male","B"
"623","Admitted","Male","B"
"624","Admitted","Male","B"
"625","Admitted","Male","B"
"626","Admitted","Male","B"
"627","Admitted","Male","B"
"628","Admitted","Male","B"
"629","Admitted","Male","B"
"630","Admitted","Male","B"
"631","Admitted","Male","B"
"632","Admitted","Male","B"
"633","Admitted","Male","B"
"634","Admitted","Male","B"
"635","Admitted","Male","B"
"636","Admitted","Male","B"
"637","Admitted","Male","B"
"638","Admitted","Male","B"
"639","Admitted","Male","B"
"640","Admitted","Male","B"
"641","Admitted","Male","B"
"642","Admitted","Male","B"
"643","Admitted","Male","B"
"644","Admitted","Male","B"
"645","Admitted","Male","B"
"646","Admitted","Male","B"
"647","Admitted","Male","B"
"648","Admitted","Male","B"
"649","Admitted","Male","B"
"650","Admitted","Male","B"
"651","Admitted","Male","B"
"652","Admitted","Male","B"
"653","Admitted","Male","B"
"654","Admitted","Male","B"
"655","Admitted","Male","B"
"656","Admitted","Male","B"
"657","Admitted","Male","B"
"658","Admitted","Male","B"
"659","Admitted","Male","B"
"660","Admitted","Male","B"
"661","Admitted","Male","B"
"662","Admitted","Male","B"
"663","Admitted","Male","B"
"664","Admitted","Male","B"
"665","Admitted","Male","B"
"666","Admitted","Male","B"
"667","Admitted","Male","B"
"668","Admitted","Male","B"
"669","Admitted","Male","B"
"670","Admitted","Male","B"
"671","Admitted","Male","B"
"672","Admitted","Male","B"
"673","Admitted","Male","B"
"674","Admitted","Male","B"
"675","Admitted","Male","B"
"676","Admitted","Male","B"
"677","Admitted","Male","B"
"678","Admitted","Male","B"
"679","Admitted","Male","B"
"680","Admitted","Male","B"
"681","Admitted","Male","B"
"682","Admitted","Male","B"
"683","Admitted","Male","B"
"684","Admitted","Male","B"
"685","Admitted","Male","B"
"686","Admitted","Male","B"
"687","Admitted","Male","B"
"688","Admitted","Male","B"
"689","Admitted","Male","B"
"690","Admitted","Male","B"
"691","Admitted","Male","B"
"692","Admitted","Male","B"
"693","Admitted","Male","B"
"694","Admitted","Male","B"
"695","Admitted","Male","B"
"696","Admitted","Male","B"
"697","Admitted","Male","B"
"698","Admitted","Male","B"
"699","Admitted","Male","B"
"700","Admitted","Male","B"
"701","Admitted","Male","B"
"702","Admitted","Male","B"
"703","Admitted","Male","B"
"704","Admitted","Male","B"
"705","Admitted","Male","B"
"706","Admitted","Male","B"
"707","Admitted","Male","B"
"708","Admitted","Male","B"
"709","Admitted","Male","B"
"710","Admitted","Male","B"
"711","Admitted","Male","B"
"712","Admitted","Male","B"
"713","Admitted","Male","B"
"714","Admitted","Male","B"
"715","Admitted","Male","B"
"716","Admitted","Male","B"
"717","Admitted","Male","B"
"718","Admitted","Male","B"
"719","Admitted","Male","B"
"720","Admitted","Male","B"
"721","Admitted","Male","B"
"722","Admitted","Male","B"
"723","Admitted","Male","B"
"724","Admitted","Male","B"
"725","Admitted","Male","B"
"726","Admitted","Male","B"
"727","Admitted","Male","B"
"728","Admitted","Male","B"
"729","Admitted","Male","B"
"730","Admitted","Male","B"
"731","Admitted","Male","B"
"732","Admitted","Male","B"
"733","Admitted","Male","B"
"734","Admitted","Male","B"
"735","Admitted","Male","B"
"736","Admitted","Male","B"
"737","Admitted","Male","B"
"738","Admitted","Male","B"
"739","Admitted","Male","B"
"740","Admitted","Male","B"
"741","Admitted","Male","B"
"742","Admitted","Male","B"
"743","Admitted","Male","B"
"744","Admitted","Male","B"
"745","Admitted","Male","B"
"746","Admitted","Male","B"
"747","Admitted","Male","B"
"748","Admitted","Male","B"
"749","Admitted","Male","B"
"750","Admitted","Male","B"
"751","Admitted","Male","B"
"752","Admitted","Male","B"
"753","Admitted","Male","B"
"754","Admitted","Male","B"
"755","Admitted","Male","B"
"756","Admitted","Male","B"
"757","Admitted","Male","B"
"758","Admitted","Male","B"
"759","Admitted","Male","B"
"760","Admitted","Male","B"
"761","Admitted","Male","B"
"762","Admitted","Male","B"
"763","Admitted","Male","B"
"764","Admitted","Male","B"
"765","Admitted","Male","B"
"766","Admitted","Male","B"
"767","Admitted","Male","B"
"768","Admitted","Male","B"
"769","Admitted","Male","B"
"770","Admitted","Male","B"
"771","Admitted","Male","B"
"772","Admitted","Male","B"
"773","Admitted","Male","B"
"774","Admitted","Male","B"
"775","Admitted","Male","B"
"776","Admitted","Male","B"
"777","Admitted","Male","B"
"778","Admitted","Male","B"
"779","Admitted","Male","B"
"780","Admitted","Male","B"
"781","Admitted","Male","B"
"782","Admitted","Male","B"
"783","Admitted","Male","B"
"784","Admitted","Male","B"
"785","Admitted","Male","B"
"786","Admitted","Male","B"
"787","Admitted","Male","B"
"788","Admitted","Male","B"
"789","Admitted","Male","B"
"790","Admitted","Male","B"
"791","Admitted","Male","B"
"792","Admitted","Male","B"
"793","Admitted","Male","B"
"794","Admitted","Male","B"
"795","Admitted","Male","B"
"796","Admitted","Male","B"
"797","Admitted","Male","B"
"798","Admitted","Male","B"
"799","Admitted","Male","B"
"800","Admitted","Male","B"
"801","Admitted","Male","B"
"802","Admitted","Male","B"
"803","Admitted","Male","B"
"804","Admitted","Male","B"
"805","Admitted","Male","B"
"806","Admitted","Male","B"
"807","Admitted","Male","B"
"808","Admitted","Male","B"
"809","Admitted","Male","B"
"810","Admitted","Male","B"
"811","Admitted","Male","B"
"812","Admitted","Male","B"
"813","Admitted","Male","B"
"814","Admitted","Male","B"
"815","Admitted","Male","B"
"816","Admitted","Male","B"
"817","Admitted","Male","B"
"818","Admitted","Male","B"
"819","Admitted","Male","B"
"820","Admitted","Male","B"
"821","Admitted","Male","B"
"822","Admitted","Male","B"
"823","Admitted","Male","B"
"824","Admitted","Male","B"
"825","Admitted","Male","B"
"826","Admitted","Male","B"
"827","Admitted","Male","B"
"828","Admitted","Male","B"
"829","Admitted","Male","B"
"830","Admitted","Male","B"
"831","Admitted","Male","B"
"832","Admitted","Male","B"
"833","Admitted","Male","B"
"834","Admitted","Male","B"
"835","Admitted","Male","B"
"836","Admitted","Male","B"
"837","Admitted","Male","B"
"838","Admitted","Male","B"
"839","Admitted","Male","B"
"840","Admitted","Male","B"
"841","Admitted","Male","B"
"842","Admitted","Male","B"
"843","Admitted","Male","B"
"844","Admitted","Male","B"
"845","Admitted","Male","B"
"846","Admitted","Male","B"
"847","Admitted","Male","B"
"848","Admitted","Male","B"
"849","Admitted","Male","B"
"850","Admitted","Male","B"
"851","Admitted","Male","B"
"852","Admitted","Male","B"
"853","Admitted","Male","B"
"854","Admitted","Male","B"
"855","Admitted","Male","B"
"856","Admitted","Male","B"
"857","Admitted","Male","B"
"858","Admitted","Male","B"
"859","Admitted","Male","B"
"860","Admitted","Male","B"
"861","Admitted","Male","B"
"862","Admitted","Male","B"
"863","Admitted","Male","B"
"864","Admitted","Male","B"
"865","Admitted","Male","B"
"866","Admitted","Male","C"
"867","Admitted","Male","C"
"868","Admitted","Male","C"
"869","Admitted","Male","C"
"870","Admitted","Male","C"
"871","Admitted","Male","C"
"872","Admitted","Male","C"
"873","Admitted","Male","C"
"874","Admitted","Male","C"
"875","Admitted","Male","C"
"876","Admitted","Male","C"
"877","Admitted","Male","C"
"878","Admitted","Male","C"
"879","Admitted","Male","C"
"880","Admitted","Male","C"
"881","Admitted","Male","C"
"882","Admitted","Male","C"
"883","Admitted","Male","C"
"884","Admitted","Male","C"
"885","Admitted","Male","C"
"886","Admitted","Male","C"
"887","Admitted","Male","C"
"888","Admitted","Male","C"
"889","Admitted","Male","C"
"890","Admitted","Male","C"
"891","Admitted","Male","C"
"892","Admitted","Male","C"
"893","Admitted","Male","C"
"894","Admitted","Male","C"
"895","Admitted","Male","C"
"896","Admitted","Male","C"
"897","Admitted","Male","C"
"898","Admitted","Male","C"
"899","Admitted","Male","C"
"900","Admitted","Male","C"
"901","Admitted","Male","C"
"902","Admitted","Male","C"
"903","Admitted","Male","C"
"904","Admitted","Male","C"
"905","Admitted","Male","C"
"906","Admitted","Male","C"
"907","Admitted","Male","C"
"908","Admitted","Male","C"
"909","Admitted","Male","C"
"910","Admitted","Male","C"
"911","Admitted","Male","C"
"912","Admitted","Male","C"
"913","Admitted","Male","C"
"914","Admitted","Male","C"
"915","Admitted","Male","C"
"916","Admitted","Male","C"
"917","Admitted","Male","C"
"918","Admitted","Male","C"
"919","Admitted","Male","C"
"920","Admitted","Male","C"
"921","Admitted","Male","C"
"922","Admitted","Male","C"
"923","Admitted","Male","C"
"924","Admitted","Male","C"
"925","Admitted","Male","C"
"926","Admitted","Male","C"
"927","Admitted","Male","C"
"928","Admitted","Male","C"
"929","Admitted","Male","C"
"930","Admitted","Male","C"
"931","Admitted","Male","C"
"932","Admitted","Male","C"
"933","Admitted","Male","C"
"934","Admitted","Male","C"
"935","Admitted","Male","C"
"936","Admitted","Male","C"
"937","Admitted","Male","C"
"938","Admitted","Male","C"
"939","Admitted","Male","C"
"940","Admitted","Male","C"
"941","Admitted","Male","C"
"942","Admitted","Male","C"
"943","Admitted","Male","C"
"944","Admitted","Male","C"
"945","Admitted","Male","C"
"946","Admitted","Male","C"
"947","Admitted","Male","C"
"948","Admitted","Male","C"
"949","Admitted","Male","C"
"950","Admitted","Male","C"
"951","Admitted","Male","C"
"952","Admitted","Male","C"
"953","Admitted","Male","C"
"954","Admitted","Male","C"
"955","Admitted","Male","C"
"956","Admitted","Male","C"
"957","Admitted","Male","C"
"958","Admitted","Male","C"
"959","Admitted","Male","C"
"960","Admitted","Male","C"
"961","Admitted","Male","C"
"962","Admitted","Male","C"
"963","Admitted","Male","C"
"964","Admitted","Male","C"
"965","Admitted","Male","C"
"966","Admitted","Male","C"
"967","Admitted","Male","C"
"968","Admitted","Male","C"
"969","Admitted","Male","C"
"970","Admitted","Male","C"
"971","Admitted","Male","C"
"972","Admitted","Male","C"
"973","Admitted","Male","C"
"974","Admitted","Male","C"
"975","Admitted","Male","C"
"976","Admitted","Male","C"
"977","Admitted","Male","C"
"978","Admitted","Male","C"
"979","Admitted","Male","C"
"980","Admitted","Male","C"
"981","Admitted","Male","C"
"982","Admitted","Male","C"
"983","Admitted","Male","C"
"984","Admitted","Male","C"
"985","Admitted","Male","C"
"986","Admitted","Male","D"
"987","Admitted","Male","D"
"988","Admitted","Male","D"
"989","Admitted","Male","D"
"990","Admitted","Male","D"
"991","Admitted","Male","D"
"992","Admitted","Male","D"
"993","Admitted","Male","D"
"994","Admitted","Male","D"
"995","Admitted","Male","D"
"996","Admitted","Male","D"
"997","Admitted","Male","D"
